Nombre,Offset_LE,Paleta_LE
Bug,BC D7 64 00,60 30 66 00
Cat,3C A1 5F 00,20 24 66 00
Chicken1,1C 88 62 00,40 2B 66 00
Chicken2,1C 88 62 00,60 2B 66 00
Chicken3,1C 88 62 00,80 2B 66 00
Chicken4,1C 88 62 00,A0 2B 66 00
Cow1,3C 4F 60 00,A0 25 66 00
Cow2,3C 6E 60 00,A0 25 66 00
Cow3,3C 8D 60 00,A0 25 66 00
Cow4,3C AC 60 00,A0 25 66 00
Cow5,7C CB 60 00,A0 25 66 00
Dog1,3C 11 61 00,20 26 66 00
Dog2,3C 2D 61 00,20 26 66 00
Dragonfly,3C 41 61 00,60 26 66 00
Monkey,FC 38 64 00,00 2F 66 00
Rabbit,3C D3 64 00,40 30 66 00
RedBug,9C B2 63 00,E0 2D 66 00
Squirrel,BC D3 65 00,60 31 66 00
WildDog,3C DA 65 00,80 31 66 00
